name,name2,gender,nation,birth,height,weight,event,nationplace,身高
古雅沙 ,GU Yasha,女,中国,1990年11月28日,,,足球,河南,
傅海峰 ,Fu Hai Feng,男,中国,1984年1月2日,181厘米,78kg,羽毛球,广东,181
高晨 ,GAO Chen,女,中国,1992年8月11日,,,足球,辽宁,
冯珊珊 ,Feng Shanshan,女,中国,1989年8月5日,173cm,68kg,高尔夫,广东,173
郭文珺 ,Guo Wenjun,女,中国,1984年6月22日,168厘米,65kg,射击,陕西,168
郭建力 ,Guo Jianli,男,中国,1988年3月6日,,,现代五项,广东,
郭艾伦 ,Guo Ailun,男,中国,1993年11月14日,192厘米,85kg,篮球,辽宁,192
巩立姣 ,Gong Lijiao,女,中国,1989年1月24日,175厘米,108kg,女子铅球,河北,175
何钧杰 ,HO Kwan Kit,男,中国香港,1997年4月20日,175厘米,60kg,乒乓球,,175
郝佳露 ,Hao Jialu,女,中国,1987年8月20日,176cm,,击剑,山西,176
胡安·卡洛斯·纳瓦罗 ,Juan Carlos Navarro,男,西班牙,1980年6月13日,191cm,77kg,篮球,,191
宫磊 ,Gong Lei,男,中国,1983年3月26日,185厘米,88kg,帆船,山东省,185
华天 ,Hua Tian,男,中国,1989年10月25日,187厘米,70kg,马术,北京,187
华绍青 ,HUA Shaoqing,女,中国,1994年2月12日,172厘米,54kg,女子中长跑,河北,172
盖尔曼·桑切斯 ,Germán Sánchez,男,墨西哥,1992年6月24日,,,跳水,,
黄雪辰 ,Huang Xuechen,女,中国,1990年2月25日,175cm,62kg,花样游泳,上海,175
何雯娜 ,He Wenna,女,中国,1989年1月19日,160厘米,48kg,蹦床,福建,160
宫金杰 ,Gong Jinjie,女,中国,1986年11月12日,168厘米,67kg,自行车,吉林,168
黄红枇 ,Huang Hong Pi,女,中国,1989年4月,195厘米,80kg,篮球,广西南宁,195
黄丽珠 ,Huang Li Zhu,女,中国,,175厘米,,帆船,海南,175
顾雪宋 ,Gu Xuesong,男,中国,,,,射箭,,
何健彬 ,He Jianbin,男,中国,1993年2月18日,188厘米,79kg,游泳,广东,188
韩鹏 ,Han Peng,女,中国,1989年12月20日,,,足球,山东,
顾笑 ,Gu Xiao,女,中国,1993年3月18日,174cm,60kg,游泳,江苏,174
何姿 ,He Zi,女,中国,1990年12月10日,159厘米,51kg,跳水,广西,159
侯雅雯 ,Hou Yanwen,女,中国,,,,游泳,辽宁,
高兴龙 ,Gao Xinglong,男,中国,1994年3月12日,181cm,70kg,田径,黑龙江,181
胡逸轩 ,Hu Yixuan,男,中国,1994年10月,,,游泳,浙江,
哈里森·巴恩斯 ,Harrison Barnes,男,美国,1992年5月29日,203厘米,95kg,篮球,,203
韩玉成 ,Han Yucheng,男,中国,1978年12月16日,175cm,63kg,田径,辽宁,175
黄冬艳 ,Huang Dongyan,女,中国,,,,自行车,上海,
黄文仪 ,Huang Wenyi ,女,中国,1991年3月6日,178厘米,63kg,赛艇,广东省,178
黄思静 ,Huang Si Jing,女,中国,1996年4月,192厘米,80kg,篮球,广东梅州,192
惠若琪 ,Hui Ruoqi,女,中国,1991年3月4日,191厘米,77kg,排球,辽宁,191
胡斌渊 ,Hu Binyuan,男,中国,1977年11月7日,180厘米,67kg,射击,上海,180
黄镇廷 ,WONG Chun Ting,男,中国香港,1991年9月7日,175厘米,60kg,乒乓球,,175
黄常洲 ,Huang Changzhou,男,中国,1994年8月20日,186cm,73kg,田径,四川,186
韩莹 ,Han Ying,女,德国,1983年4月29日,,,乒乓球,,
金延璟 ,Kim yeon-koung,女,韩国,1988年2月26日,192厘米,73kg,排球,,192
黄博凯 ,Huang Bokai,男,中国,1996年9月26日,192cm,78kg,田径,广东,192
敬亚莉 ,Jing Yali,女,中国,1993年5月25日,,,自行车,河南,
杰西卡-恩尼斯 ,Jessica Ennis,女,英国,1986年1月28日,165厘米,57kg,田径,,165
加尔比妮·穆古鲁扎 ,Garbiñe Muguruza,女,西班牙,1993年10月8日,182cm,73kg,网球,,182
贾斯汀-加特林 ,Justin Gatlin,男,美国,1982年2月10日,185厘米,83kg,田径,,185
凯文·杜兰特 ,Kevin Durant,男,美国,1988年9月29日,206厘米,104kg,篮球,,206
江燕 ,Jiang Yan,女,中国,,,,赛艇,山东,
卡梅伦·范德伯格 ,Cameron van der Burgh,男,南非,1988年5月25日,1.85米,85kg,游泳,,1.8
吉米·巴特勒 ,Jimmy Butler,男,美国,1989年9月14日,201厘米,101kg,篮球,,201
凯特·坎贝尔 ,Cate Campbell,女,澳大利亚,1995年5月10日,1.86米,67kg,游泳,,1.8
焦云龙 ,Jiao Yunlong,男,中国,1988年5月9日,190cm,,击剑,安徽,190
奎赫梅•乔万诺尼 ,Guilherme Giovannoni,男,巴西,1980年6月2日,204厘米,97kg,篮球,,204
吉奥瓦尼-西蒙尼 ,Giovanni Simeone,男,阿根廷,1995年7月5日,181cm,81kg,男子足球,,181
孔令微 ,KONG Lingwei,女,中国,1995年7月28日,165厘米,55kg,女子短跑,黑龙江,165
金特尔 ,Matthias Ginter,男,德国,1994年1月19日,188cm,85kg,男子足球,,188
凯瑞·厄文 ,Kyrie Irving,男,美国,1992年3月23日,191厘米,81kg,篮球,,191
金威 ,Jin Wei,男,中国,,,,赛艇,辽宁,
凯尔·洛里 ,Kyle Lowry,男,美国,1986年3月25日,183厘米,93kg,篮球,,183
科斯特耶维奇 ,Olena KOSTEVYCH,,,,,,,,
李慕豪 ,Li Muhao,男,中国,1992年6月2日,225厘米,111kg,篮球,贵州贵阳,225
罗伦特·皮特鲁斯 ,Florent Pietrus,男,法国,1981年1月19日,202厘米,103kg,篮球,,202
凯蒂·莱德基 ,Katie Ledecky,女,美国,1997年3月17日,180厘米,70kg,游泳,,180
李倩 ,Li Qian,女,中国,,,,拳击,河南,
刘诗颖 ,LIU Shiying,女,中国,1993年9月24日,178厘米,78kg,女子标枪,山东,178
库雅妮特拉·霍林斯沃斯 ,Kuanitra Holingsvorth,女,土耳其,1988年11月15日,196厘米,91kg,篮球,,196
劳尔•托格尼•内托 ,Raul Togni Neto,男,巴西,1992年5月20日,189厘米,82kg,篮球,,189
丽泽内·墨菲 ,Lizanne Murphy,女,加拿大,1984年3月15日,183厘米,75kg,篮球,,183
卡罗丽娜·马琳 ,Carolina Marín,女,西班牙,1993年6月15日,,,羽毛球,,
莱昂纳多•巴博萨 ,Leandro Barbosa,男,巴西,1982年11月28日,191厘米,92kg,篮球,,191
李小红 ,LI Xiaohong,女,中国,1995年1月8日,175厘米,56kg,女子三级跳远,福建,175
卡汀卡·霍斯祖 ,Katinka Hosszú,女,匈牙利,1989年5月3日,170厘米,60kg,游泳,,170
吕斌 ,Lv Bin,男,中国,1994年,,,拳击,浙江,
李尚洙 ,LEE Sangsu,男,韩国,1990年8月13日,172厘米,60kg,乒乓球,,172
卡梅伦·麦克沃伊 ,Cameron McEvoy,男,澳大利亚,1994年5月13日,183厘米,73kg,游泳,,183
鲁塔·梅卢提特 ,Rūta Meilutytė,女,立陶宛,1997年3月19日,1.73米,64kg,游泳,,1.7
梁小静 ,LIANG Xiaojing,女,中国,1997年4月7日,156厘米,45kg,女子短跑,广东,156
克莱恩·杜马克 ,Celine Dumerc,女,法国,,169厘米,项目:篮球,,,169
雷声 ,Lei Sheng,男,中国,1984年3月7日,193厘米,75kg,花剑,天津,193
吕扬 ,Lv Yang,女,中国,,,,赛艇,河南,
卡洛斯·德尔菲诺 ,Carlos Delfino,男,阿根廷,1982年8月29日,198厘米,104kg,篮球,,198
李晓霞 ,Li Xiaoxia,女,中国,1988年1月16日,174cm,64kg,乒乓球,辽宁,174
李珊珊 ,Li Shan Shan,女,中国,1987年4月,177厘米,70kg,篮球,江苏,177
克拉丽萨·桑托斯 ,Clarissa Santos,女,巴西,1988年3月10日,183厘米,94kg,篮球,,183
林慧君 ,LIN Huijun,女,中国,1993年2月1日,168厘米,kg,女子短跑,福建,168
刘湘 ,Liu Xiang ,女,中国,1996年9月1日,,,游泳,广东,
卡梅隆·安东尼 ,Carmelo Anthony,男,美国,1984年9月29日,203厘米,104kg,篮球,,203
罗杰·费德勒 ,Roger Federer,男,瑞士,1981年8月8日,185厘米,80kg,网球,,185
李丹 ,Li Dan,女,中国,1989年9月19日,155厘米,48kg,蹦床,广东省广州市,155
鲁迪·费尔南德斯 ,Rudy Fernandez ,男,西班牙,1985年4月4日,196cm,85kg,篮球,,196
李晓璐 ,Li Xiaolu,,,,,,,,
李强 ,Li Qiang ,男,中国,1989年1月4日,185厘米,83kg,皮划艇静水,辽宁省,185
龙清泉 ,Long Qing Quan,男,中国:,1990年12月3日,156厘米,56KG,举重,湖南,156
刘杉杉 ,LIU Shanshan,女,中国,1992年3月16日,,,足球,河北,
李冬娜 ,LI Dongna,女,中国,1988年12月6日,,,足球,辽宁,
黎雅君 ,Li Ya Jun,女,中国:,,,,举重,广东,
乐慧林 ,Le Huilin,女,中国,1989年4月1日,,,击剑,福建,
林丹 ,Lin Dan,男,中国,1983年10月14日,177厘米,70kg,羽毛球,福建,177
柳延星 ,YOO Yeon Seong,男,韩国,1986年8月19日,180厘米,68kg,羽毛球,,180
李影 ,LI Ying,女,中国,1993年1月7日,,,足球,重庆,
刘咏诗 ,Liu Yongshi,女,中国,1990年2月,176cm,,击剑,广东,176
梁馨枰 ,Liang Xinping,女,中国,1994年7月31日,171cm,60公斤,花样游泳,江苏,171
拉特查诺·因达农 ,Ratchanok Inthanon,女,泰国,1995年2月5日,165厘米,,羽毛球,,165
李悦 ,Li Yue,女,中国,1993年10月27日,,,皮划艇静水,云南贵州,
林超攀 ,Lin Chaopan,男,中国,1995年8月27日,,,体操,福建,
柳雅欣 ,Liu Yaxin,女,中国,1999年,,,游泳,浙江,
刘洋 ,Liu Yang,男,中国,1994年8月11日,,,体操,辽宁,
娄佳惠 ,Lou Jiahui,女,中国,1991年5月26日,,,足球,河南,
林永庆 ,Lin Yongqing,男,中国,1992年12月24日,190cm,80kg,游泳,辽宁,190
刘虹 ,Liu Hong,女,中国,1987年5月12日,161厘米,48kg,女子20公里竞走,江西,161
李朱濠 ,Li Zhuhao,男,中国,1999年1月9日,183cm,,游泳,浙江,183
莉兹·坎贝奇 ,Liz Cambage,女,澳大利亚,1991年8月18日,203厘米,98kg,篮球,,203
刘诗雯 , Liu Shiwen,女,中国,1991年4月12日,160厘米,54kg,乒乓球,辽宁,160
李广源 ,Li Guangyuan,男,中国,1997年2月27日,,,游泳,浙江,
蕾切尔·杰里 ,Rachel Jarry,女,澳大利亚,1991年12月6日,187厘米,77kg,篮球,,187
